polygon node
77 1761
77 1764
77 1838
77 1864
77 1872
77 1876
77 1886
77 1888
77 1892
77 1907
77 1911
77 1914
77 1915
77 1925
77 1938
77 1969
77 1971
77 1980
77 1986
77 1990
77 2004
77 2009
77 2020
77 2022
77 2034
77 2037
77 2042
77 2044
77 2049
77 2057
77 2072
77 2083
77 2085
77 2103
77 2117
77 2123
77 2131
77 2155
77 2175
77 2219
77 2244
77 2273
77 4079
77 4082
77 4121
77 4123
77 4129
77 4143
77 4207
77 4235
77 4236
77 4240
77 4268
77 4281
77 4288
77 4319
77 4337
77 4341
77 4343
77 4345
77 4354
77 4357
77 4399
77 4404
77 4425
77 4436
77 4439
77 4445
77 4453
77 4458
77 4460
77 4466
77 4488
77 4503
77 4522
77 4539
77 4544
77 4553
77 4554
77 4555
77 4582
77 4600
77 4607
77 4612
77 4652
77 4657
77 4659
77 4662
77 4673
77 4688
77 4693
77 4728
77 4739
77 4741
77 4755
77 4759
77 4782
77 4797
77 4801
77 4854
77 4883
77 5961
77 5986
77 5999
77 6037
77 6041
77 6043
77 6047
77 6095
77 6105
77 6128
77 6147
77 6184
77 6192
77 6206
77 6264
