landscape loss_after_one_passage
0 0.01
0 0.01
0 0.01
0 0.01
31 0.01
31 0.01
31 0.01
31 0.01
32 0.01
32 0.01
32 0.01
32 0.01
35 0.01
35 0.01
35 0.01
35 0.01
41 0.01
41 0.01
41 0.01
41 0.01
42 0.01
42 0.01
42 0.01
42 0.01
43 0.01
43 0.01
43 0.01
43 0.01
45 0.01
45 0.01
45 0.01
45 0.01
51 0.01
51 0.01
51 0.01
51 0.01
52 -0.01
52 -0.01
52 -0.01
52 -0.01
53 -0.01
53 -0.01
53 -0.01
53 -0.01
54 -0.01
54 -0.01
54 -0.01
54 -0.01
61 0.01
61 0.01
61 0.01
61 0.01
62 0.01
62 0.01
62 0.01
62 0.01
64 0.01
64 0.01
64 0.01
64 0.01
65 0.01
65 0.01
65 0.01
65 0.01
