pt_graph landings
189 8058
188 8058
231 8058
190 8058
191 8058
202 19
201 19
203 19
138 19
137 19
9 19
245 19
292 19
164 19
9867 19
16 19
9883 19
243 19
293 19
9870 19
200 19
295 19
27 19
8 19
204 19
196 19
195 19
197 19
298 19
17 19
167 19
6 19
199 19
9873 19
356 19
246 19
244 19
9856 19
15 19
300 19
238 19
354 19
198 19
241 19
242 19
7 19
303 19
358 19
357 19
247 19
235 19
9858 19
14 19
28 19
239 19
301 19
165 19
166 19
355 19
248 19
45 19
299 19
294 19
236 19
249 19
302 19
237 19
296 19
240 19
297 19
23 132
55 132
20 132
427 132
262 132
430 132
218 132
67 132
139 132
210 132
54 132
366 132
367 132
21 132
368 132
22 132
428 132
261 132
217 132
485 132
126 132
127 132
128 132
209 132
490 132
491 132
131 132
18 132
182 132
94 132
70 132
135 132
151 132
140 132
141 132
110 132
208 132
112 132
31 132
34 132
35 132
92 132
69 132
149 132
46 132
122 132
123 132
219 132
50 132
51 132
53 132
176 132
130 132
178 132
132 132
148 132
181 132
134 132
426 132
429 132
72 132
431 132
142 132
143 132
489 132
87 132
19 132
145 132
68 132
494 132
93 132
118 132
95 132
205 132
206 132
10025 132
111 132
29 132
113 132
114 132
256 132
147 132
304 132
305 132
370 132
308 132
172 132
263 132
125 132
419 132
52 132
364 132
177 132
129 132
179 132
180 132
369 132
493 132
133 132
71 132
96 132
486 132
487 132
488 132
75 132
30 132
146 132
89 132
492 132
91 132
37 132
307 132
150 132
359 132
108 132
109 132
250 132
251 132
311 132
561 132
32 132
168 132
36 132
424 132
116 132
216 132
425 132
47 132
48 132
49 132
420 132
207 132
365 132
313 132
422 132
423 132
115 132
211 132
117 132
259 132
260 132
73 132
153 132
74 132
363 132
252 132
312 132
144 132
90 132
563 132
562 132
212 132
214 132
169 132
152 132
124 132
361 132
171 132
362 132
174 132
255 132
33 132
421 132
309 132
254 132
173 132
257 132
264 132
306 132
175 132
360 132
564 132
170 132
258 132
314 132
88 132
253 132
215 132
213 132
310 132
641 85
502 85
721 85
497 85
184 85
320 85
10016 85
9880 85
375 85
374 85
639 85
371 85
495 85
496 85
432 85
155 85
498 85
9892 85
376 85
500 85
435 85
316 85
183 85
319 85
318 85
719 85
717 85
720 85
373 85
434 85
156 85
220 85
267 85
222 85
436 85
638 85
640 85
437 85
642 85
718 85
643 85
154 85
433 85
570 85
9838 85
568 85
574 85
501 85
268 85
317 85
269 85
714 85
713 85
567 85
