stock  init_pops_per_szgroup
0 100000
0 100000
0 100000
0 100000
0 100000
0 100000
0 100000
0 100000
0 100000
0 100000
0 100000
0 100000
0 100000
0 100000
1 100000
1 100000
1 100000
1 100000
1 100000
1 100000
1 100000
1 100000
1 100000
1 100000
1 100000
1 100000
1 100000
1 100000
2 61634297
2 17745161
2 11935952
2 16833752
2 7992410
2 7064186
2 10303569
2 612224.5
2 0
2 0
2 0
2 0
2 0
2 0
3 2773269
3 904991
3 547068.8
3 301457.8
3 212112.8
3 84614.2
3 0
3 0
3 0
3 0
3 0
3 0
3 0
3 0
4 17188670
4 7207319
4 7610512
4 10809632
4 3526638
4 0
4 0
4 0
4 0
4 0
4 0
4 0
4 0
4 0
5 346974388
5 9018752
5 693859.2
5 0
5 0
5 0
5 0
5 0
5 0
5 0
5 0
5 0
5 0
5 0
6 100000
6 100000
6 100000
6 100000
6 100000
6 100000
6 100000
6 100000
6 100000
6 100000
6 100000
6 100000
6 100000
6 100000
7 99936177
7 53332929
7 54901894
7 0
7 0
7 0
7 0
7 0
7 0
7 0
7 0
7 0
7 0
7 0
8 3070.048
8 97030.2
8 145354.7
8 19039.8
8 12797.58
8 12372.67
8 10622.65
8 9051.593
8 8409.395
8 5665.941
8 3001.684
8 2149.537
8 1299.445
8 2405.722
9 402.5721
9 2906.118
9 446.0275
9 275.1157
9 180.9305
9 113.8294
9 134.0962
9 136.3478
9 68.93305
9 24.1975
9 12.0857
9 3.579
9 0.16745
9 0
10 120270.6
10 22057.22
10 14655.17
10 11864.03
10 10733.91
10 9693.878
10 8321.685
10 8305.096
10 7778.667
10 6593.516
10 3208.604
10 1656.357
10 677.3667
10 331.8786
11 0
11 2565.337
11 67658.16
11 85639.84
11 83583.9
11 72768.5
11 61958.52
11 46023.75
11 33410.65
11 24416.6
11 16754.38
11 9952.951
11 3064.24
11 8.1718
12 701649.2
12 245849.7
12 373383
12 370027.1
12 91786.09
12 34894.91
12 32463.68
12 41339.32
12 102314.4
12 58799.42
12 3386.866
12 77.2497
12 0
12 0
13 100000
13 100000
13 100000
13 100000
13 100000
13 100000
13 100000
13 100000
13 100000
13 100000
13 100000
13 100000
13 100000
13 100000
14 100000
14 100000
14 100000
14 100000
14 100000
14 100000
14 100000
14 100000
14 100000
14 100000
14 100000
14 100000
14 100000
14 100000
15 0
15 7.4864
15 679.3908
15 8957.735
15 20720.57
15 24612.94
15 30244.08
15 35743.11
15 24116.1
15 10384.06
15 6663.973
15 4638.104
15 2146.231
15 408.2295
16 13893.1
16 10158.19
16 1821.75
16 2450.966
16 0
16 0
16 0
16 0
16 0
16 0
16 0
16 0
16 0
16 0
17 100000
17 100000
17 100000
17 100000
17 100000
17 100000
17 100000
17 100000
17 100000
17 100000
17 100000
17 100000
17 100000
17 100000
18 100000
18 100000
18 100000
18 100000
18 100000
18 100000
18 100000
18 100000
18 100000
18 100000
18 100000
18 100000
18 100000
18 100000
19 94532602
19 85476206
19 15170742
19 29450
19 0
19 0
19 0
19 0
19 0
19 0
19 0
19 0
19 0
19 0
20 100000
20 100000
20 100000
20 100000
20 100000
20 100000
20 100000
20 100000
20 100000
20 100000
20 100000
20 100000
20 100000
20 100000
21 3912750
21 3252988
21 1569701
21 1794788
21 1416877
21 2100596
21 2926832
21 2619778
21 0
21 0
21 0
21 0
21 0
21 0
22 100000
22 100000
22 100000
22 100000
22 100000
22 100000
22 100000
22 100000
22 100000
22 100000
22 100000
22 100000
22 100000
22 100000
23 100000
23 100000
23 100000
23 100000
23 100000
23 100000
23 100000
23 100000
23 100000
23 100000
23 100000
23 100000
23 100000
23 100000
24 100000
24 100000
24 100000
24 100000
24 100000
24 100000
24 100000
24 100000
24 100000
24 100000
24 100000
24 100000
24 100000
24 100000
25 100000
25 100000
25 100000
25 100000
25 100000
25 100000
25 100000
25 100000
25 100000
25 100000
25 100000
25 100000
25 100000
25 100000
26 833532
26 1266617
26 818504.7
26 501355.1
26 354120
26 198189.1
26 112978.3
26 4663.133
26 0
26 0
26 0
26 0
26 0
26 0
27 100000
27 100000
27 100000
27 100000
27 100000
27 100000
27 100000
27 100000
27 100000
27 100000
27 100000
27 100000
27 100000
27 100000
28 100000
28 100000
28 100000
28 100000
28 100000
28 100000
28 100000
28 100000
28 100000
28 100000
28 100000
28 100000
28 100000
28 100000
29 308.3795
29 50670
29 29688.26
29 39064.38
29 56611.15
29 75527.69
29 42895.15
29 25719.51
29 25453.94
29 1846.548
29 0
29 0
29 0
29 0
30 0
30 11.1038
30 1754.589
30 2017.666
30 1922.864
30 2188.244
30 1286.849
30 802.6852
30 0
30 0
30 0
30 0
30 0
30 0
31 100000
31 100000
31 100000
31 100000
31 100000
31 100000
31 100000
31 100000
31 100000
31 100000
31 100000
31 100000
31 100000
31 100000
32 100000
32 100000
32 100000
32 100000
32 100000
32 100000
32 100000
32 100000
32 100000
32 100000
32 100000
32 100000
32 100000
32 100000
33 100000
33 100000
33 100000
33 100000
33 100000
33 100000
33 100000
33 100000
33 100000
33 100000
33 100000
33 100000
33 100000
33 100000
34 100000
34 100000
34 100000
34 100000
34 100000
34 100000
34 100000
34 100000
34 100000
34 100000
34 100000
34 100000
34 100000
34 100000
35 100000
35 100000
35 100000
35 100000
35 100000
35 100000
35 100000
35 100000
35 100000
35 100000
35 100000
35 100000
35 100000
35 100000
36 100000
36 100000
36 100000
36 100000
36 100000
36 100000
36 100000
36 100000
36 100000
36 100000
36 100000
36 100000
36 100000
36 100000
37 100000
37 100000
37 100000
37 100000
37 100000
37 100000
37 100000
37 100000
37 100000
37 100000
37 100000
37 100000
37 100000
37 100000
