 key  value
8122 8062
8062 8061
8061 8060
8060 7997
7997 7996
7996 7925
7925 7924
7924 7851
7851 7850
7850 7849
7849 7848
7848 7847
7847 7846
7846 7845
7845 7844
7844 7843
7843 7842
8125 8065
8065 8002
8002 7931
7931 7930
7930 7929
7929 7928
7928 7927
7927 7926
7926 7925
8124 8064
8064 8001
8001 8000
8000 7929
8127 8067
8067 8066
8066 8003
8003 7932
7932 7931
8126 8066
8113 8053
8053 8052
8052 8051
8051 8050
8050 8049
8049 7986
7986 7915
7915 7842
8112 8052
8115 8055
8055 7992
7992 7921
7921 7848
8114 8054
8054 8053
8117 8057
8057 7994
7994 7993
7993 7992
8116 8056
8056 7993
8119 8059
8059 7996
8118 8058
8058 8057
8105 8046
8046 7984
7984 7914
7914 7842
8104 8105
8107 8048
8048 7986
8106 8047
8047 7985
7985 7914
8109 8049
8108 8049
8111 8051
8110 8050
8097 8038
8038 8039
8039 7977
7977 7907
7907 7835
7835 7836
7836 7837
7837 7838
7838 7839
7839 7840
7840 7841
7841 7842
8096 8037
8037 8038
8099 8040
8040 8041
8041 8042
8042 7980
7980 7910
7910 7911
7911 7839
8098 8039
8101 8042
8100 8041
8103 8104
8102 8043
8043 7981
7981 7911
8155 8098
8157 8100
8156 8099
8159 8160
8160 8161
8161 8104
8158 8159
8136 8137
8137 8080
8080 8021
8021 8022
8022 8023
8023 8024
8024 8025
8025 8026
8026 8027
8027 7965
7965 7895
7895 7896
7896 7897
7897 7825
7825 7826
7826 7827
7827 7828
7828 7829
7829 7830
7830 7831
7831 7832
7832 7833
7833 7834
7834 7835
8128 8068
8068 8005
8005 7934
7934 7933
7933 7932
8185 8127
8184 8126
8177 8119
8176 8175
8175 8174
8174 8173
8173 8172
8172 8171
8171 8170
8170 8112
8179 8121
8121 8061
8178 8120
8120 8060
8181 8123
8123 8063
8063 8000
8180 8179
8183 8125
8182 8124
8169 8168
8168 8167
8167 8109
8163 8106
8162 8105
8165 8107
8164 8106
8166 8108
8217 8160
8216 8217
8219 8162
8218 8219
8221 8163
8220 8163
8223 8166
8222 8164
8215 8216
8214 8215
8241 8240
8240 8182
8242 8184
8233 8175
8232 8174
8235 8234
8234 8233
8237 8236
8236 8235
8239 8238
8238 8237
8225 8167
8224 8166
8227 8226
8226 8168
8229 8171
8228 8170
8231 8230
8230 8172
8281 8227
8280 8226
8283 8229
8282 8228
8285 8231
8284 8230
8287 8233
8286 8232
8273 8220
8272 8219
8275 8222
8274 8221
8277 8224
8276 8223
8279 8225
8278 8224
91 111
111 125
125 143
143 172
172 209
209 254
254 304
304 359
359 419
419 482
482 481
481 550
550 549
549 548
548 619
619 689
689 768
768 854
854 938
938 1012
1012 1081
1081 1153
1153 1236
1236 1318
1318 1404
1404 1498
1498 1685
1685 1780
1780 1867
1867 1951
1951 2040
2040 2132
2132 2222
2222 2309
2309 2397
2397 2483
2483 2567
2567 2654
2654 2742
2742 2830
2830 2927
2927 3029
3029 3121
3121 3215
3215 3310
3310 3405
3405 3490
3490 3571
3571 3657
3657 3739
3739 3825
3825 3914
3914 4003
4003 4092
4092 4182
4182 4274
4274 4364
4364 4452
4452 4539
