pt_graph freq
7554 1
7555 1
7684 1
7756 1
7757 1
7758 1
7829 1
7830 1
7831 1
7832 1
7838 1
7840 1
7859 1
7860 1
7861 1
7862 1
7863 1
7864 1
7903 1
7904 1
7905 1
7906 1
7911 1
7912 1
7913 1
7915 1
7916 1
7932 1
7935 1
7936 1
7937 1
7974 1
7975 1
7976 1
7977 1
7978 1
7979 1
7981 1
7982 1
7983 1
7984 1
7985 1
7986 1
7987 1
8003 1
8005 1
8006 1
8007 1
8038 1
8039 1
8040 1
8041 1
8042 1
8043 1
8044 1
8045 1
8046 1
8047 1
8065 1
8066 1
8067 1
8068 1
8069 1
8098 1
8099 1
8100 1
8101 1
8102 1
8103 1
8104 1
8105 1
8126 1
8127 1
8157 1
8158 1
8159 1
8160 1
8161 1
8162 1
8163 1
8164 1
8181 1
8182 1
8183 1
8184 1
8216 1
8217 1
8218 1
8219 1
8220 1
8221 1
8223 1
8239 1
8240 1
8241 1
8275 1
8293 1
8294 1
