pt_graph shape
1621 0
1621 0
1621 0
1621 0
1621 0
1621 0
1621 0
1621 0
1621 0
1621 0
1621 1.46
1621 0
1621 0
1621 0
1621 1.61
1621 0
1621 0
1621 0
1621 0
1621 0
1621 0
1621 0
1621 0
1621 0
1621 0
1621 0
1621 0
1621 0
1621 1.99
1621 0
1621 0
1621 0
1621 0
1621 0
1621 0
1621 0
1621 0
1621 0
1623 0
1623 0
1623 0
1623 0
1623 0
1623 0
1623 0
1623 0
1623 0
1623 0
1623 1.47
1623 0
1623 0
1623 0
1623 0
1623 0
1623 0
1623 0
1623 0
1623 0
1623 0
1623 0
1623 0
1623 0
1623 0
1623 16.06
1623 0
1623 0
1623 45.99
1623 0
1623 0
1623 0
1623 29.5
1623 0
1623 0
1623 0
1623 0
1623 0
1625 0
1625 0
1625 0
1625 0
1625 0
1625 0
1625 0
1625 0
1625 0
1625 0
1625 1.48
1625 0
1625 0
1625 0
1625 37.26
1625 0
1625 0
1625 0
1625 0
1625 0
1625 0
1625 0
1625 0
1625 0
1625 0
1625 1.67
1625 0
1625 0
1625 24.14
1625 0
1625 0
1625 0
1625 40.97
1625 0
1625 0
1625 0
1625 0
1625 0
1630 0
1630 0
1630 0
1630 0
1630 0
1630 0
1630 0
1630 0
1630 0
1630 0
1630 1.48
1630 0
1630 0
1630 0
1630 33.46
1630 0
1630 0
1630 0
1630 0
1630 0
1630 0
1630 0
1630 0
1630 0
1630 0
1630 16.06
1630 0
1630 0
1630 23.32
1630 0
1630 0
1630 0
1630 29.5
1630 0
1630 0
1630 0
1630 0
1630 0
1805 0
1805 0
1805 0
1805 0
1805 0
1805 0
1805 0
1805 0
1805 0
1805 0
1805 1.46
1805 0
1805 0
1805 0
1805 0
1805 0
1805 0
1805 0
1805 0
1805 0
1805 0
1805 0
1805 0
1805 27.19
1805 0
1805 0
1805 0
1805 0
1805 1.48
1805 0
1805 0
1805 0
1805 0
1805 0
1805 0
1805 0
1805 0
1805 0
1814 0
1814 0
1814 0
1814 0
1814 0
1814 0
1814 0
1814 0
1814 0
1814 0
1814 1.46
1814 0
1814 0
1814 0
1814 23.43
1814 0
1814 0
1814 0
1814 0
1814 0
1814 0
1814 0
1814 0
1814 0
1814 0
1814 0
1814 0
1814 0
1814 23.32
1814 0
1814 0
1814 0
1814 0
1814 0
1814 0
1814 0
1814 0
1814 0
1816 0
1816 0
1816 0
1816 0
1816 0
1816 0
1816 0
1816 0
1816 0
1816 0
1816 1.47
1816 0
1816 0
1816 0
1816 0
1816 0
1816 0
1816 0
1816 0
1816 0
1816 0
1816 0
1816 0
1816 0
1816 0
1816 0
1816 0
1816 0
1816 1.5
1816 0
1816 0
1816 0
1816 0
1816 0
1816 0
1816 0
1816 0
1816 0
1887 0
1887 0
1887 0
1887 0
1887 0
1887 0
1887 0
1887 0
1887 0
1887 0
1887 1.46
1887 0
1887 0
1887 0
1887 35.05
1887 0
1887 0
1887 0
1887 0
1887 0
1887 0
1887 0
1887 0
1887 27.56
1887 0
1887 0
1887 0
1887 0
1887 1.59
1887 0
1887 0
1887 0
1887 32.63
1887 0
1887 0
1887 0
1887 0
1887 0
1888 0
1888 0
1888 0
1888 0
1888 0
1888 0
1888 0
1888 0
1888 0
1888 0
1888 1.46
1888 0
1888 0
1888 0
1888 0
1888 0
1888 0
1888 0
1888 0
1888 0
1888 0
1888 0
1888 0
1888 0
1888 0
1888 0
1888 0
1888 0
1888 1.47
1888 0
1888 0
1888 0
1888 0
1888 0
1888 0
1888 0
1888 0
1888 0
1889 0
1889 0
1889 0
1889 0
1889 0
1889 0
1889 0
1889 0
1889 0
1889 0
1889 1.46
1889 0
1889 0
1889 0
1889 35.05
1889 0
1889 0
1889 0
1889 0
1889 0
1889 0
1889 0
1889 0
1889 27.56
1889 0
1889 0
1889 0
1889 0
1889 1.59
1889 0
1889 0
1889 0
1889 32.63
1889 0
1889 0
1889 0
1889 0
1889 0
1892 0
1892 0
1892 0
1892 0
1892 0
1892 0
1892 0
1892 0
1892 0
1892 0
1892 1.48
1892 0
1892 0
1892 0
1892 37.26
1892 0
1892 0
1892 0
1892 0
1892 0
1892 0
1892 0
1892 0
1892 0
1892 0
1892 1.67
1892 0
1892 0
1892 24.14
1892 0
1892 0
1892 0
1892 40.97
1892 0
1892 0
1892 0
1892 0
1892 0
1896 0
1896 0
1896 0
1896 0
1896 0
1896 0
1896 0
1896 0
1896 0
1896 0
1896 1.48
1896 0
1896 0
1896 0
1896 33.46
1896 0
1896 0
1896 0
1896 0
1896 0
1896 0
1896 0
1896 0
1896 0
1896 0
1896 16.06
1896 0
1896 0
1896 23.32
1896 0
1896 0
1896 0
1896 29.5
1896 0
1896 0
1896 0
1896 0
1896 0
1977 0
1977 0
1977 0
1977 0
1977 0
1977 0
1977 0
1977 0
1977 0
1977 0
1977 0.79
1977 0
1977 0
1977 0
1977 32.56
1977 0
1977 0
1977 0
1977 0
1977 0
1977 0
1977 0
1977 0
1977 31.82
1977 0
1977 0
1977 0
1977 0
1977 0.69
1977 0
1977 0
1977 0
1977 1.68
1977 0
1977 0
1977 0
1977 0
1977 0
2069 0
2069 0
2069 0
2069 0
2069 0
2069 0
2069 0
2069 0
2069 0
2069 0
2069 0.75
2069 0
2069 0
2069 0
2069 35.05
2069 0
2069 0
2069 0
2069 0
2069 0
2069 0
2069 0
2069 0
2069 27.56
2069 0
2069 0
2069 0
2069 0
2069 0.82
2069 0
2069 0
2069 0
2069 32.63
2069 0
2069 0
2069 0
2069 0
2069 0
2071 0
2071 0
2071 0
2071 0
2071 0
2071 0
2071 0
2071 0
2071 0
2071 0
2071 1.48
2071 0
2071 0
2071 0
2071 33.46
2071 0
2071 0
2071 0
2071 0
2071 0
2071 0
2071 0
2071 0
2071 0
2071 0
2071 16.06
2071 0
2071 0
2071 23.32
2071 0
2071 0
2071 0
2071 29.5
2071 0
2071 0
2071 0
2071 0
2071 0
2245 0
2245 0
2245 0
2245 0
2245 0
2245 0
2245 0
2245 0
2245 0
2245 0
2245 1.48
2245 0
2245 0
2245 0
2245 38.67
2245 0
2245 0
2245 0
2245 0
2245 0
2245 0
2245 0
2245 0
2245 0
2245 0
2245 0
2245 0
2245 0
2245 1.56
2245 0
2245 0
2245 0
2245 0
2245 0
2245 0
2245 0
2245 0
2245 0
2419 0
2419 0
2419 0
2419 0
2419 0
2419 0
2419 0
2419 0
2419 0
2419 0
2419 0.75
2419 0
2419 0
2419 0
2419 35.47
2419 0
2419 0
2419 0
2419 0
2419 0
2419 0
2419 0
2419 0
2419 0
2419 0
2419 0
2419 0
2419 0
2419 0.75
2419 0
2419 0
2419 0
2419 0
2419 0
2419 0
2419 0
2419 0
2419 0
2512 0
2512 0
2512 0
2512 0
2512 0
2512 0
2512 0
2512 0
2512 0
2512 0
2512 1.46
2512 0
2512 0
2512 0
2512 0
2512 0
2512 0
2512 0
2512 0
2512 0
2512 0
2512 0
2512 0
2512 0
2512 0
2512 0
2512 0
2512 0
2512 1.48
2512 0
2512 0
2512 0
2512 0
2512 0
2512 0
2512 0
2512 0
2512 0
3035 0
3035 0
3035 0
3035 0
3035 0
3035 0
3035 0
3035 0
