VE_REF pt_graph
DNK000000032 3408
DNK000000032 3582
DNK000000032 3665
DNK000000032 3750
DNK000000032 3839
DNK000000032 3840
DNK000000032 3928
DNK000000032 4019
DNK000000032 4108
DNK000000032 4814
DNK000000569 7780
DNK000000569 7848
DNK000000569 7850
DNK000000569 7853
DNK000000569 7924
DNK000000569 7925
DNK000000569 7926
DNK000000569 7927
DNK000000569 7928
DNK000000569 7996
DNK000000569 7997
DNK000000569 7998
DNK000000569 7999
DNK000000569 8059
DNK000000569 8060
DNK000000569 8061
DNK000001391 764
DNK000001391 851
DNK000001391 935
DNK000001391 1010
DNK000001391 1080
DNK000001391 1152
DNK000001391 1153
DNK000001391 1234
DNK000001391 1235
DNK000001391 1317
DNK000001403 2192
DNK000001403 2278
DNK000001403 2362
DNK000001403 2363
DNK000001403 2364
DNK000001403 2365
DNK000001403 2450
DNK000001403 2533
DNK000001403 2535
DNK000001403 2619
DNK000001403 2620
DNK000001403 5484
DNK000001403 5725
DNK000001403 5726
DNK000001403 5799
DNK000001403 5800
DNK000001403 5873
DNK000001946 4808
DNK000001946 4809
DNK000001946 5137
DNK000001946 5138
DNK000001946 5140
DNK000001946 5216
DNK000001946 5217
DNK000001946 5219
DNK000001946 5220
DNK000001946 5302
DNK000001946 5303
DNK000001946 5304
DNK000001946 5305
DNK000001946 5306
DNK000001946 5307
DNK000001946 5394
DNK000001946 5395
DNK000001946 5396
DNK000001946 5397
DNK000001946 5398
DNK000001946 5399
DNK000001946 5484
DNK000001946 5485
DNK000001946 5486
DNK000001946 5487
DNK000001946 5488
DNK000001946 5489
DNK000001946 5573
DNK000001946 5729
DNK000001946 5735
DNK000001946 5736
DNK000001946 5804
DNK000001946 5810
DNK000001946 5878
DNK000001946 5879
DNK000001946 5884
DNK000001946 5952
DNK000001946 5954
DNK000001946 5956
DNK000001946 5957
DNK000001946 6033
DNK000002280 1018
DNK000002280 1019
DNK000002280 1088
DNK000002280 7341
DNK000002280 7343
DNK000002280 7409
DNK000002280 7410
DNK000002280 7411
DNK000002280 7412
DNK000002280 7475
DNK000002280 7477
DNK000002280 7556
DNK000002280 7557
DNK000002280 7628
DNK000002280 7629
DNK000002280 7701
DNK000002280 7702
DNK000002280 7774
DNK000002359 9828
DNK000002359 9829
DNK000002382 606
DNK000002382 676
DNK000002382 677
DNK000002382 755
DNK000002382 756
DNK000002382 842
DNK000002382 843
DNK000002382 844
DNK000002382 845
DNK000002382 846
DNK000002382 927
DNK000002382 928
DNK000002382 929
DNK000002382 930
DNK000002382 1004
DNK000002382 1005
DNK000002382 1006
DNK000002382 1074
DNK000002382 1075
DNK000002382 1076
DNK000002382 1143
DNK000002382 1144
DNK000002382 1145
DNK000002382 1146
DNK000002382 1226
DNK000002382 1227
DNK000002382 1228
DNK000002382 1311
DNK000004305 9462
DNK000004305 9478
DNK000004305 9550
DNK000004305 9571
DNK000004305 9593
DNK000004343 6110
DNK000004343 6187
DNK000004343 6189
DNK000004343 6190
DNK000004343 6262
DNK000004343 6264
DNK000004343 6340
DNK000004343 6341
DNK000004343 6810
DNK000004343 6880
DNK000004343 6949
DNK000004343 6950
DNK000004343 6951
DNK000004343 7023
DNK000004343 7024
DNK000004343 7025
DNK000004343 7026
DNK000004343 7027
DNK000004343 7088
DNK000004343 7094
DNK000004343 7097
DNK000004343 7099
DNK000004343 7164
DNK000004343 7168
DNK000004343 7169
DNK000004343 7222
DNK000004343 7223
DNK000004343 7230
DNK000004343 7231
DNK000004343 7232
DNK000004343 7234
DNK000004343 7235
DNK000004343 7290
DNK000004343 7297
DNK000004343 7299
DNK000004343 7300
DNK000004343 7301
DNK000004343 7360
DNK000004343 7366
DNK000004343 7371
DNK000004343 7372
DNK000004343 7429
DNK000004343 7430
DNK000004343 7435
DNK000004343 7439
DNK000004343 7503
DNK000004343 7573
DNK000004343 7574
DNK000004343 7647
DNK000004343 7717
DNK000004343 7718
