pt_graph met
1540 2
1540 3
1541 2
1541 3
1542 2
1542 3
1631 2
1631 3
1632 2
1632 3
1633 2
1633 3
1634 2
1634 3
1635 2
1635 3
1725 2
1725 3
1726 2
1726 3
1727 2
1727 3
1728 2
1728 3
1729 2
1729 3
1730 2
1730 3
1731 2
1731 3
1732 2
1732 3
1813 2
1813 3
1814 2
1814 3
1815 2
1815 3
1816 2
1816 3
1817 2
1817 3
1818 2
1818 3
1819 2
1819 3
1820 2
1820 3
1821 2
1821 3
1822 2
1822 3
1823 2
1823 3
1892 2
1892 3
1893 2
1893 3
1894 2
1894 3
1895 2
1895 3
1896 2
1896 3
1897 2
1897 3
1898 2
1898 3
1899 2
1899 3
1900 2
1900 3
1901 2
1901 3
1902 2
1902 3
1903 2
1903 3
1904 2
1904 3
1905 2
1905 3
1978 2
1978 3
1979 2
1979 3
1980 2
1980 3
1981 2
1981 3
1982 2
1982 3
1983 2
1983 3
1984 2
1984 3
1985 2
1985 3
1986 2
1986 3
1987 2
1987 3
1988 2
1988 3
1989 2
1989 3
1990 2
1990 3
1991 2
1991 3
1992 2
1992 3
1993 2
1993 3
2065 2
2065 3
2066 2
2066 3
2067 2
2067 3
2068 2
2068 3
2069 2
2069 3
2070 2
2070 3
2071 2
2071 3
2072 2
2072 3
2073 2
2073 3
2074 2
2074 3
2075 2
2075 3
2076 2
2076 3
2077 2
2077 3
2078 2
2078 3
2079 2
2079 3
2080 2
2080 3
2081 2
2081 3
2082 2
2082 3
2083 2
2083 3
2084 2
2084 3
2152 2
2152 3
2153 2
2153 3
2154 2
2154 3
2155 2
2155 3
2156 2
2156 3
2157 2
2157 3
2158 2
2158 3
2159 2
2159 3
2160 2
2160 3
2161 2
2161 3
2162 2
2162 3
2163 2
2163 3
2164 2
2164 3
2165 2
2165 3
2166 2
2166 3
2167 2
2167 3
2168 2
2168 3
2169 2
2169 3
2170 2
2170 3
2171 2
2171 3
2172 2
2172 3
2173 2
2173 3
2235 2
2235 3
2236 2
2236 3
2237 2
2237 3
2238 2
2238 3
2239 2
2239 3
2240 2
2240 3
2241 2
2241 3
2242 2
2242 3
2243 2
2243 3
2244 2
2244 3
2245 2
2245 3
2246 2
2246 3
2247 2
2247 3
2248 2
2248 3
2249 2
2249 3
2250 2
2250 3
2251 2
2251 3
2252 2
2252 3
2253 2
2253 3
2254 2
2254 3
2255 2
2255 3
2256 2
2256 3
2257 2
2257 3
2258 2
2258 3
2259 2
2259 3
2320 2
2320 3
2321 2
2321 3
2322 2
2322 3
2323 2
2323 3
2324 2
2324 3
2325 2
2325 3
2326 2
2326 3
2327 2
2327 3
2328 2
2328 3
2329 2
2329 3
2330 2
2330 3
2331 2
2331 3
2332 2
2332 3
2333 2
2333 3
2334 2
2334 3
2335 2
2335 3
2336 2
2336 3
2337 2
2337 3
2338 2
2338 3
2339 2
2339 3
2340 2
2340 3
2341 2
2341 3
2342 2
2342 3
2343 2
2343 3
2344 2
2344 3
2345 2
2345 3
2346 2
2346 3
2407 2
2407 3
2408 2
2408 3
2409 2
2409 3
2410 2
2410 3
2411 2
2411 3
2412 2
2412 3
2413 2
2413 3
2414 2
2414 3
2415 2
2415 3
2416 2
2416 3
2417 2
2417 3
2418 2
2418 3
2419 2
2419 3
2420 2
2420 3
2421 2
2421 3
2422 2
2422 3
2423 2
2423 3
2424 2
2424 3
2425 2
2425 3
2426 2
2426 3
2427 2
2427 3
2428 2
2428 3
2429 2
2429 3
2430 2
2430 3
2431 2
2431 3
2494 2
2494 3
2495 2
2495 3
2496 2
2496 3
2497 2
2497 3
2498 2
2498 3
2499 2
2499 3
2500 2
2500 3
2501 2
2501 3
2502 2
2502 3
2503 2
2503 3
2504 2
2504 3
2505 2
2505 3
2506 2
2506 3
2507 2
2507 3
2508 2
2508 3
2509 2
2509 3
2510 2
2510 3
2511 2
2511 3
2512 2
2512 3
2513 2
2513 3
2514 2
2514 3
2515 2
2515 3
2516 2
2516 3
2582 2
2582 3
2583 2
2583 3
2584 2
2584 3
2585 2
2585 3
2586 2
2586 3
2587 2
2587 3
2588 2
2588 3
2589 2
2589 3
2590 2
2590 3
2591 2
2591 3
2592 2
2592 3
2593 2
2593 3
2594 2
2594 3
2595 2
2595 3
2596 2
2596 3
2597 2
2597 3
2598 2
2598 3
2599 2
2599 3
2600 2
2600 3
2601 2
2601 3
2671 2
2671 3
2672 2
2672 3
2673 2
2673 3
2674 2
2674 3
2675 2
2675 3
2676 2
2676 3
2677 2
2677 3
2678 2
2678 3
2679 2
2679 3
2680 2
2680 3
2681 2
2681 3
2682 2
2682 3
2683 2
2683 3
2684 2
2684 3
2685 2
2685 3
2686 2
2686 3
2687 2
2687 3
2762 2
2762 3
2763 2
2763 3
2764 2
2764 3
2765 2
2765 3
2766 2
2766 3
2767 2
2767 3
2768 2
2768 3
2769 2
2769 3
2770 2
2770 3
2771 2
2771 3
2772 2
2772 3
2773 2
2773 3
2774 2
2774 3
2775 2
2775 3
2776 2
2776 3
2791 2
2791 3
2792 2
2792 3
2793 2
2793 3
2794 2
2794 3
2853 2
2853 3
2854 2
2854 3
2855 2
2855 3
2856 2
2856 3
2857 2
2857 3
2858 2
2858 3
2859 2
2859 3
2860 2
2860 3
2861 2
2861 3
2862 2
2862 3
2863 2
2863 3
2864 2
2864 3
2879 2
2879 3
2880 2
2880 3
2881 2
2881 3
2882 2
2882 3
2883 2
2883 3
2884 2
2884 3
2885 2
2885 3
2886 2
2886 3
2955 2
2955 3
2956 2
2956 3
2957 2
2957 3
2958 2
2958 3
2959 2
2959 3
2960 2
